Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
1153,5233,8974,8167
1154,5243,8974,8167
1155,5243,8975,8167
1156,5250,8975,8167
1157,5250,8986,8169
1158,5251,8987,8169
1159,5258,8987,8177
1160,5258,8998,8181
1161,5258,9000,8182
1162,5258,9013,8212
1163,5258,9024,8230
1164,5265,9027,8246
1165,5266,9054,8261
1166,5287,9066,8262
1167,5316,9069,8265
1168,5317,9093,8266
1169,5317,9093,8266
1170,5317,9093,8271
1171,5318,9093,8274
1172,5318,9093,8275
1173,5325,9094,8306
1174,5326,9105,8309
1175,5326,9133,8309
1176,5327,9133,8332
1177,5335,9133,8334
1178,5353,9133,8334
1179,5355,9133,8335
1180,5357,9157,8335
1181,5357,9158,8335
1182,5368,9158,8356
1183,5369,9158,8362
1184,5370,9161,8364
1185,5371,9163,8372
1186,5371,9164,8373
1187,5371,9164,8375
1188,5380,9168,8375
1189,5394,9170,8382
1190,5395,9170,8383
1191,5422,9170,8383
1192,5428,9171,8383
1193,5429,9171,8414
1194,5429,9171,8442
1195,5429,9174,8448
1196,5429,9174,8450
1197,5429,9174,8459
1198,5429,9200,8459
1199,5429,9210,8459
1200,5429,9214,8459
1201,5434,9229,8459
1202,5434,9232,8460
1203,5434,9234,8463
1204,5434,9248,8463
1205,5434,9253,8467
1206,5438,9253,8472
1207,5439,9253,8478
1208,5439,9256,8492
1209,5439,9257,8493
1210,5439,9257,8494
1211,5446,9267,8514
1212,5447,9267,8522
1213,5465,9267,8522
1214,5468,9267,8526
1215,5469,9285,8530
1216,5473,9285,8531
1217,5473,9286,8532
1218,5473,9296,8534
1219,5477,9297,8536
1220,5478,9298,8561
1221,5478,9298,8579
1222,5478,9315,8579
1223,5479,9321,8582
1224,5479,9330,8590
1225,5479,9331,8622
1226,5483,9340,8642
1227,5483,9361,8642
1228,5483,9366,8642
1229,5493,9369,8645
1230,5493,9370,8655
1231,5511,9372,8657
1232,5511,9375,8684
1233,5513,9407,8684
1234,5513,9412,8684
1235,5513,9424,8684
1236,5515,9434,8684
1237,5515,9434,8719
1238,5515,9446,8723
1239,5517,9448,8735
1240,5518,9485,8759
1241,5521,9511,8759
1242,5521,9512,8760
1243,5523,9513,8761
1244,5525,9515,8770
1245,5525,9532,8785
1246,5527,9535,8795
1247,5528,9555,8796
1248,5528,9557,8798
1249,5528,9557,8802
1250,5528,9559,8818
1251,5528,9583,8818
1252,5528,9584,8821
1253,5528,9612,8822
1254,5546,9613,8825
1255,5560,9619,8833
1256,5567,9619,8836
1257,5567,9622,8842
1258,5594,9622,8846
1259,5594,9622,8846
1260,5594,9623,8861
1261,5596,9624,8866
1262,5598,9625,8884
1263,5599,9626,8889
1264,5599,9626,8890
1265,5599,9632,8890
1266,5599,9633,8895
1267,5602,9633,8916
1268,5602,9634,8918
1269,5604,9649,8918
1270,5606,9682,8920
1271,5607,9684,8923
1272,5608,9685,8923
1273,5616,9687,8928
1274,5616,9696,8931
