Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3,CUCB
697,19,14,18,30
698,11,23,20,24
699,10,14,17,23
700,16,17,19,23
701,10,20,21,21
702,18,13,22,21
703,21,15,19,24
704,14,13,27,23
705,21,12,19,22
706,16,15,16,21
707,16,17,17,21
708,12,12,20,22
709,12,16,18,33
710,11,17,20,24
711,12,24,20,19
712,14,13,19,29
713,20,16,20,18
714,13,12,22,23
715,13,12,20,27
716,17,13,19,22
717,10,13,19,25
718,21,11,20,24
719,14,15,21,21
720,22,16,19,23
721,14,14,22,20
722,15,11,21,28
723,22,25,18,24
724,12,19,25,26
725,15,17,26,22
726,19,12,18,24
727,13,15,19,24
728,11,20,18,22
729,11,18,20,25
730,13,14,22,25
731,12,15,18,26
732,23,16,23,19
733,18,16,21,22
734,11,15,16,22
735,11,12,16,21
736,14,13,17,22
737,16,18,19,21
738,12,14,19,21
739,21,18,21,21
740,25,21,18,25
741,24,18,19,21
742,21,12,21,23
743,23,14,18,22
744,17,22,16,26
745,20,15,20,26
746,14,19,22,26
747,12,16,26,22
748,11,12,17,22
749,13,13,20,27
750,11,17,21,27
751,16,14,22,22
752,15,12,19,19
753,18,16,19,23
754,11,11,17,28
755,18,10,19,29
756,11,17,21,25
757,18,16,20,27
758,15,10,21,25
759,11,16,21,24
760,19,12,17,26
761,11,16,19,24
762,18,11,19,23
763,23,12,18,25
764,10,14,21,21
765,15,14,18,28
766,11,12,25,22
767,12,17,24,29
768,22,19,23,22
769,13,11,21,26
770,14,11,26,20
771,10,13,19,29
772,14,11,18,22
773,18,11,18,20
774,12,14,20,25
775,12,14,19,25
776,18,11,19,26
777,16,12,22,24
778,14,20,25,22
779,14,14,21,22
780,17,16,20,29
781,18,13,19,22
782,10,22,19,20
783,14,18,20,25
784,15,10,21,26
785,13,12,26,24
786,13,17,18,22
787,15,19,19,25
788,13,13,21,27
789,13,12,20,23
790,14,13,20,22
791,16,18,18,21
792,12,12,22,27
793,12,14,18,21
794,15,14,20,20
795,13,20,17,23
796,15,19,19,21
797,19,19,21,21
798,12,11,20,23
799,14,12,17,27
800,16,15,18,21
801,14,13,19,22
802,22,15,19,20
803,13,11,20,25
804,18,10,22,20
805,17,15,20,22
806,14,13,17,22
807,14,10,23,21
808,17,15,22,24
809,17,15,17,23
810,13,19,17,22
811,15,10,24,24
812,15,19,20,20
813,20,13,25,27
814,16,11,19,23
815,11,18,18,23
816,12,10,19,25
817,11,10,21,20
818,11,17,21,31
819,11,13,26,25
820,13,15,17,24
821,12,17,23,24
822,15,17,20,24
823,16,13,20,24
824,13,13,27,22
825,15,15,18,23
826,13,13,19,23
827,16,12,21,30
828,18,24,17,23
829,17,13,20,23
830,14,11,20,28
831,16,16,20,19
832,13,10,19,29
833,13,21,20,22
834,11,21,20,25
835,14,14,19,22
836,11,17,23,28
837,19,20,20,37
838,13,10,20,26
839,14,11,22,21
840,14,11,20,22
841,15,18,19,22
842,22,10,17,24
843,19,15,19,28
844,12,13,18,23
845,24,12,16,27
846,10,18,18,22
847,12,10,21,24
848,13,14,20,23
849,12,16,18,22
850,15,13,17,22
851,11,11,17,23
852,15,12,20,22
853,20,11,17,25
854,12,18,19,23
855,16,11,18,22
856,14,14,16,22
857,15,17,20,27
858,13,20,17,24
859,18,21,19,24
860,22,14,16,19
861,12,13,19,24
862,17,11,18,25
863,13,18,20,28
864,11,13,22,24
865,13,22,25,18
866,11,10,21,24
867,13,13,17,22
868,15,11,18,22
869,12,11,17,26
870,11,14,24,23
871,16,11,22,20
872,10,16,23,23
873,12,17,20,20
874,10,13,18,20
875,14,13,19,23
876,11,12,23,24
877,12,11,23,23
878,15,18,28,23
879,14,16,23,22
880,17,14,17,25
881,13,11,17,26
882,13,18,19,28
883,15,10,20,22
884,13,20,16,24
885,21,15,17,25
886,22,15,20,23
887,10,12,20,19
888,22,16,19,29
889,18,14,18,22
890,13,17,18,25
891,14,12,19,21
892,16,22,18,22
893,14,16,17,20
894,13,11,24,20
895,20,13,24,21
896,14,16,21,28
897,26,11,21,23
898,12,12,18,26
899,15,11,19,24
900,21,15,26,21
901,10,11,21,21
902,26,14,21,21
903,14,18,17,24
904,20,20,20,25
905,12,14,19,20
906,13,19,24,23
907,18,10,20,24
908,16,17,21,27
909,13,12,23,18
910,17,19,25,28
911,12,10,25,26
