Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
1017,8,10,9
1018,5,6,10
1019,5,7,5
1020,5,11,10
1021,6,11,6
1022,6,5,5
1023,5,5,5
1024,5,12,6
1025,5,12,5
1026,6,10,6
1027,6,10,6
1028,6,12,21
1029,5,10,7
1030,5,5,5
1031,11,8,5
1032,6,10,6
1033,6,8,5
1034,6,10,5
1035,5,11,5
1036,5,8,6
1037,6,6,10
1038,5,11,14
1039,6,14,10
1040,11,12,7
1041,7,9,6
1042,11,6,5
1043,5,5,6
1044,5,8,6
1045,7,5,7
1046,5,13,7
1047,6,7,5
1048,5,6,6
1049,6,6,6
1050,7,6,5
1051,5,5,5
1052,9,7,7
1053,5,5,6
1054,6,8,10
1055,5,8,5
1056,6,6,18
1057,5,7,5
1058,12,8,6
1059,7,5,5
1060,6,9,5
1061,5,5,8
1062,11,8,5
1063,13,7,5
1064,5,9,7
1065,10,5,6
1066,5,5,6
1067,5,6,5
1068,13,6,5
1069,7,6,6
1070,5,5,5
1071,5,5,8
1072,5,6,5
1073,6,5,7
1074,6,5,13
1075,5,5,6
1076,7,5,5
1077,5,5,5
1078,5,6,7
1079,5,5,6
1080,5,5,14
1081,5,10,5
1082,5,5,7
1083,5,6,6
1084,7,9,5
1085,5,5,5
1086,7,19,6
1087,7,9,6
1088,17,5,6
1089,7,6,5
1090,5,6,5
1091,7,5,5
1092,6,5,6
1093,6,6,10
1094,5,5,5
1095,8,6,14
1096,5,6,5
1097,6,5,5
1098,5,5,5
1099,8,8,6
1100,13,5,5
1101,7,7,7
1102,9,6,5
1103,6,11,15
1104,5,6,14
1105,14,5,7
1106,11,6,16
1107,11,6,6
1108,7,5,6
1109,5,6,5
1110,5,8,5
1111,6,13,5
1112,5,5,5
1113,5,17,5
1114,6,7,7
1115,5,6,5
1116,6,5,5
1117,5,5,10
1118,5,10,6
1119,6,5,6
1120,5,6,7
1121,14,6,6
1122,6,8,5
1123,6,9,5
1124,7,6,5
1125,10,6,19
1126,6,7,5
1127,12,7,5
1128,6,6,13
